Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C2, C3, C4, C5, C6, C7, C8, C9",0603,17,8.2pF,
J1,SHDRRA40W64P254_2X20_5840X930X878P,1,40 In,
J2,CONN20_D10-RA-BK_SUL,1,20 Out,
JP1,PinHeader_1x02_P2.54mm_Horizontal,1,Voltage Isolate,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",0603,17,250R,
"R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34",0603,17,90.9k,
